Date,Close,High,Low,Open,Volume
,API,API,API,API,API
2023-04-11,3.5999999046325684,3.7300000190734863,3.490000009536743,3.5,408000
2023-04-12,3.450000047683716,3.619999885559082,3.4000000953674316,3.5999999046325684,422600
2023-04-13,3.5,3.615000009536743,3.3949999809265137,3.5199999809265137,1310400
2023-04-14,3.5399999618530273,3.6050000190734863,3.424999952316284,3.4600000381469727,332400
2023-04-17,3.6600000858306885,3.7149999141693115,3.559999942779541,3.619999885559082,316200
2023-04-18,3.5399999618530273,3.759999990463257,3.5399999618530273,3.680000066757202,251200
2023-04-19,3.5199999809265137,3.5399999618530273,3.4100000858306885,3.4100000858306885,243000
2023-04-20,3.4600000381469727,3.619999885559082,3.450000047683716,3.450000047683716,279900
2023-04-21,3.390000104904175,3.509999990463257,3.380000114440918,3.380000114440918,282700
2023-04-24,3.3299999237060547,3.4749999046325684,3.309999942779541,3.359999895095825,273500
2023-04-25,3.1600000858306885,3.3350000381469727,3.119999885559082,3.259999990463257,409100
2023-04-26,3.190000057220459,3.3399999141693115,3.1600000858306885,3.1700000762939453,356900
2023-04-27,3.3399999141693115,3.380000114440918,3.2300000190734863,3.25,310100
2023-04-28,3.3499999046325684,3.509999990463257,3.319999933242798,3.319999933242798,374200
2023-05-01,3.4600000381469727,3.5250000953674316,3.3299999237060547,3.369999885559082,327900
2023-05-02,3.2100000381469727,3.390000104904175,3.109999895095825,3.390000104904175,389000
2023-05-03,3.0999999046325684,3.234999895095825,3.069999933242798,3.190000057220459,888500
2023-05-04,3.130000114440918,3.3499999046325684,3.109999895095825,3.119999885559082,362700
2023-05-05,3.359999895095825,3.505000114440918,3.119999885559082,3.1500000953674316,570600
2023-05-08,3.390000104904175,3.5199999809265137,3.2869999408721924,3.3499999046325684,405500
2023-05-09,3.440000057220459,3.4800000190734863,3.2899999618530273,3.3399999141693115,231700
2023-05-10,3.119999885559082,3.5199999809265137,3.0999999046325684,3.369999885559082,548800
2023-05-11,2.930000066757202,3.25,2.869999885559082,3.119999885559082,934200
2023-05-12,2.8499999046325684,2.9100000858306885,2.7799999713897705,2.890000104904175,588100
2023-05-15,3.0399999618530273,3.109999895095825,2.8499999046325684,2.869999885559082,1012600
2023-05-16,2.9600000381469727,3.1500000953674316,2.819999933242798,2.930000066757202,370200
2023-05-17,3.0899999141693115,3.109999895095825,2.930000066757202,2.940000057220459,657600
2023-05-18,3.0399999618530273,3.1500000953674316,3.0,3.049999952316284,309000
2023-05-19,3.0199999809265137,3.0799999237060547,2.98799991607666,3.0299999713897705,285600
